Priority,Object,Label,Proposed API Name,Data Type,Description,iEdison Field(s) Covered,Notes
Critical,Technology,iEdison Report Number,techstarter__iEdison_Report_Number__c,Text (25) (External ID),Stores the iEdison-assigned Invention Report Number returned when an invention is successfully submitted to iEdison. Used as the key to link all subsequent Patent and Utilization reports.,inventionReportNumber (all domains),Mark as External ID to support upsert from iEdison response. Should be read-only after initial population.
Critical,Technology,Title Election Status,techstarter__Title_Election_Status__c,Picklist,Bayh-Dole title election status for this technology. Indicates whether the institution has elected to retain title to the federally funded invention.,"inventionStatus.titleElectionStatus","Valid values: Draft; Under Evaluation; Elect to Retain Title; Does Not Retain Title; Designated as Unpatented Biological Material or Research Tool; Voided; Transferred"
Critical,Technology,Title Election Date,techstarter__Title_Election_Date__c,Date,Date on which the title election decision was made or submitted to iEdison.,inventionStatus.titleElectionDate,Auto-populated by iEdison on submission for org clients; store the returned value.
Critical,Technology,Not Elect Title Reason,techstarter__Not_Elect_Title_Reason__c,Picklist,Reason the institution chose not to retain title to a federally funded invention.,"inventionStatus.notElectTitleReason","Valid values: Low Commercial Potential; Non-Patentable (Not Novel); Non-Patentable (Not Useful); Non-Patentable (Obvious); Did Not Yield Expected Results; Budget Limitation; Immature Market; Other"
Critical,Technology,Not Elect Title Other Reason,techstarter__Not_Elect_Title_Other_Reason__c,Text (255),Custom reason text when Not Elect Title Reason = Other.,inventionStatus.notElectTitleOtherReason,Only required when Not Elect Title Reason = Other.
Critical,TTS_Inventor__c,Federal Employee,techstarter__Federal_Employee__c,Checkbox,Indicates that this inventor is a federal government employee.,inventors[].fedEmployee,Defaults to false.
Critical,TTS_Inventor__c,Federal Agency,techstarter__Federal_Agency__c,Text (80),The federal agency the inventor works for. Only relevant if Federal Employee = true.,inventors[].fedAgency,
Critical,TTS_Inventor__c,Primary Reporting Agency,techstarter__Primary_Reporting_Agency__c,Text (50),The primary federal agency designated for this inventor's involvement in the invention. Required for iEdison reporting.,inventors[].primaryAgency,"May default to the agency on the associated Funding Agreement if only one funder exists. Consider a picklist of common agencies: NIH, NSF, DOD, DOE, NASA, USDA, etc."
Critical,Protection,Confirmatory License Execution Date,techstarter__Confirmatory_License_Date__c,Date,Date the Confirmatory License was executed with the federal agency. Required when submitting a non-provisional or PCT patent to iEdison.,patents.confirmatoryLicenseExecutionDate,Conditional: required for all patent types except PROV.
High,Technology,Bayh-Dole Exception Circumstances,techstarter__Bayh_Dole_Exception__c,Checkbox,Indicates that this funded invention falls under exceptional circumstances as defined in Bayh-Dole (35 U.S.C. § 202(d)).,isExceptionCircumstanceDetermination,Defaults to false.
High,Technology,iEdison Docket Number,techstarter__iEdison_Docket_Number__c,Text (30),Internal docket/reference number used to identify this invention in iEdison submissions. Separate from the general External Reference field to avoid collision.,inventionDocketNumber,Optional but useful for institutions that use a separate docketing system.
High,NEW OBJECT — TTS_Funding_Agreement__c,Funding Agreement (new object),techstarter__TTS_Funding_Agreement__c,Custom Object,Represents a federal funding agreement (grant or contract) associated with a Technology record. Required to supply the structured fundingAgreements array to iEdison.,"fundingAgreements[].agency, fundingAgreements[].grantNumber, fundingAgreements[].awardType, fundingAgreements[].agreementType","Master-Detail to Technology. Fields: Agency (Text/Picklist), Grant/Contract Number (Text 40), Award Type (Picklist: Prime Award / Sub-Award), Agreement Type (Picklist: Grant / Contract / Cooperative Agreement / Other Funding Agreement). Consider also a Sub-Contract child object."
High,TTS_Agreement__c,Small Business Licensee,techstarter__Small_Business__c,Checkbox,Indicates that the licensee under this agreement is a small business as defined for iEdison utilization reporting.,licensees[].smallBusiness / smallBusinessLicensesOptions,Add to Agreement or Agreement Party object.
High,NEW OBJECT — TTS_Utilization_Report__c,Utilization Report (new object),techstarter__TTS_Utilization_Report__c,Custom Object,Annual utilization report submitted to iEdison for a specific fiscal year. Holds year-level reporting data that does not belong on the Technology record.,"reportingYear, latestStageDev, firstCommercialSaleYear, commercializationPlanId, isUSManufacturingRequired1/2/3, notes","Lookup to Technology. Key fields: Reporting Year (Number 4), Submitted (Checkbox), iEdison Submission Date (Date). This object becomes the parent for annual reporting workflow."
High,Technology (or TTS_Utilization_Report__c),First Commercial Sale Year,techstarter__First_Commercial_Sale_Year__c,Number (4),The year in which the first commercial sale of a product arising from this invention occurred.,firstCommercialSaleYear,Required when latestStageDev = Commercialized. Place on Utilization Report object if that object is created.
High,Technology (or TTS_Utilization_Report__c),Commercialisation Plan,techstarter__Commercialisation_Plan__c,Picklist,Standardised commercialisation plan status for Bayh-Dole annual utilization reporting.,commercializationPlanId,"Valid values: Seeking additional funding; Marketing and/or furthering development; Developing for internal use only; Developing with intent to commercialise; Distribution/licensing for research only; No current commercialisation plan. Required when latestStageDev = Not Licensed or Commercialized."
Medium,Technology (or TTS_Utilization_Report__c),US Manufacturing Required,techstarter__US_Manufacturing_Required__c,Picklist,Indicates whether a US manufacturing requirement applies under the licence terms (Y / N).,isUSManufacturingRequired1,Maps to iEdison's isUSManufacturingRequired1 field (Y or N).
Medium,Technology (or TTS_Utilization_Report__c),Licence US Manufacturing Requirement,techstarter__Licence_US_Mfg_Requirement__c,Picklist,Indicates whether any licence contains a US manufacturing requirement (Y / N / N/A).,isUSManufacturingRequired2,Maps to iEdison's isUSManufacturingRequired2 field.
Medium,Technology (or TTS_Utilization_Report__c),Product US Manufacturing,techstarter__Product_US_Manufacturing__c,Picklist,Indicates whether any product is being manufactured in the US under this licence (Y / N / N/A).,isUSManufacturingRequired3,Maps to iEdison's isUSManufacturingRequired3 field.
