iEdison Field,iEdison Path,Required,iEdison Type,Length,iEdison Description,TTS Object,TTS API Name,TTS Label,Mapping Type,Transformation Notes
inventionReportNumber,root,Yes,String,25,iEdison Invention Report Number this utilization report is associated with,Technology,techstarter__IP_External_Reference__c,External Reference,Derived,Use the stored iEdison report number on the Technology record. Dedicated field recommended (see Gap Candidates).
reportingYear,root,Yes,Integer,4,Fiscal year for which this utilization report is being submitted,—,—,—,Gap,No annual reporting year concept in TTS. A new Utilization Report object (or at minimum a year field) is needed to support annual submissions.
latestStageDev,root,Yes,String,30,"Latest stage of development: Commercialized, Licensed, Not Licensed or Commercialized",Technology,techstarter__IP_Status__c,Status,Derived + Transform,"Coarse mapping: 'Commercialisation' or 'Closed - Won' → Commercialized; map any active agreement with Exclusive/Non-Exclusive License type → Licensed; all other statuses → Not Licensed or Commercialized. Logic should also check existence of Agreement records."
firstCommercialSaleYear,root,Conditional,Integer,—,Year of first commercial sale. Required if latestStageDev = Commercialized.,—,—,—,Gap,No year-of-first-sale field in TTS. New field needed on Technology or the new Utilization Report object.
totalIncome,root,Conditional,Number (float),—,Total royalty/option/licence income for the reporting year. Required if latestStageDev = Commercialized or Licensed.,TTS_Transaction__c,techstarter__IP_Actual_Amount__c,Actual Amount,Derived,"Aggregate SUM of TTS_Transaction__c where Type IN ('Royalties', 'Licence Income') AND Direction = 'Incoming' AND year(Transaction Date) = reportingYear. Requires date-scoped SOQL aggregate."
exclusiveLicensesOptions,root,Conditional,Integer,—,Number of exclusive licences or options. Required if latestStageDev = Commercialized or Licensed (v2 / reportingYear ≤ 2023).,TTS_Agreement__c,techstarter__Agreement_Type__c,Agreement Type,Derived,COUNT of TTS_Agreement__c records where Agreement_Type__c = 'Exclusive License' AND Technology = this Technology AND Status is active.
nonExclusiveLicensesOptions,root,Conditional,Integer,—,Number of non-exclusive licences or options. Required if latestStageDev = Commercialized or Licensed.,TTS_Agreement__c,techstarter__Agreement_Type__c,Agreement Type,Derived,COUNT of TTS_Agreement__c where Agreement_Type__c = 'Non-Exclusive License' AND Technology = this Technology AND Status is active.
smallBusinessLicensesOptions,root,Conditional,Integer,—,Number of licences/options granted to small businesses.,—,—,—,Gap,No small business flag on Account or Agreement in TTS. New checkbox field needed on Agreement or Agreement Party.
licensees[].licenseeName,licensees,Conditional,String,255,Name of the licensee. Required per licensee for reportingYear ≥ 2024 (v3).,TTS_Agreement__c,techstarter__Licensee_Account__c,Licensee (Account),Derived,Account.Name via Agreement.Licensee_Account__c lookup. Must be unique per submission.
licensees[].exclusiveCount,licensees,No,Integer,—,Number of exclusive licences held by this licensee,TTS_Agreement__c,—,—,Derived,COUNT of active Exclusive License agreements per licensee Account.
licensees[].nonExclusiveCount,licensees,No,Integer,—,Number of non-exclusive licences held by this licensee,TTS_Agreement__c,—,—,Derived,COUNT of active Non-Exclusive License agreements per licensee Account.
licensees[].smallBusiness,licensees,No,Boolean,—,True if the licensee is a small business,—,—,—,Gap,No small business flag in TTS. Same gap as smallBusinessLicensesOptions.
isUSManufacturingRequired1,root,Conditional,String,1,Is US manufacturing required under the licence? (Y / N). Required for reportingYear ≥ 2023.,—,—,—,Gap,No US manufacturing requirement tracking in TTS. New picklist/checkbox field needed on Technology or Utilization Report.
isUSManufacturingRequired2,root,Conditional,String,3,Does any licence contain a US manufacturing requirement? (Y / N / N/A). Required for reportingYear ≥ 2023.,—,—,—,Gap,Same gap as isUSManufacturingRequired1.
isUSManufacturingRequired3,root,Conditional,String,3,Is any product being manufactured in the US under this licence? (Y / N / N/A). Required for reportingYear ≥ 2023.,—,—,—,Gap,Same gap as isUSManufacturingRequired1.
commercializationPlanId,root,Conditional,Number,—,"Commercialisation plan (1–6): 1=Seeking funding; 2=Marketing/developing; 3=Internal use only; 4=Self-commercialise; 5=Distribution/research only; 6=No current plan. Required if latestStageDev = Not Licensed or Commercialized.",—,—,—,Gap,No standardised commercialisation plan field in TTS. New picklist needed on Technology or Utilization Report.
notes,root,Conditional,String,1000,Notes. Required if commercializationPlanId = 3 or 6.,—,—,—,Derived,Could source from Technology.techstarter__IP_Commercial_Market__c or a new notes field on the Utilization Report object.
manufacturingCommProds[].productName,manufacturingCommProds,Conditional,String,100,Name of a commercial product manufactured using or embodying the invention. Must be unique.,—,—,—,Gap,No manufacturing product tracking in TTS. Out of scope for initial implementation.
manufacturingCommProds[].manufacturers[].manufacturerName,manufacturingCommProds,Conditional,String,255,Name of the manufacturer for this product,—,—,—,Gap,No manufacturer tracking in TTS.
manufacturingCommProds[].productLocation[].country,manufacturingCommProds,Conditional,String,30,Country where the product is manufactured,—,—,—,Gap,No product manufacturing location in TTS.
manufacturingCommProds[].productLocation[].state,manufacturingCommProds,No,String,14,US state where the product is manufactured,—,—,—,Gap,No product manufacturing location in TTS.
commercialProds[].commercialName,commercialProds,No,String,80,FDA-approved commercial product name,—,—,—,Gap,No FDA product approval tracking in TTS. Out of scope for initial implementation.
commercialProds[].fdaApprovalNumber,commercialProds,No,String,20,FDA approval number,—,—,—,Gap,No FDA tracking in TTS.
commercialProds[].fdaApprovalType,commercialProds,No,String,15,"FDA product type: Biologic, Medical Device, Drug",—,—,—,Gap,No FDA tracking in TTS.
newUsJobs,root,No,Integer,—,New US jobs created. DOE inventions only.,—,—,—,Gap,DOE-specific. Out of scope unless institution has DOE funding.
newUsCompanies,root,No,Integer,—,New US companies created. DOE inventions only.,—,—,—,Gap,DOE-specific. Out of scope unless institution has DOE funding.
manufacturingWaiver,root,No,Number,—,"Domestic manufacture waiver (1=Yes, 0=No). Fiscal year 2022 and prior only.",—,—,—,Gap,Historical field. Low priority; only relevant for back-reporting.
manufacturingWaiverTotal,root,No,Number,—,Number of domestic manufacture waivers obtained. Fiscal year 2022 and prior only.,—,—,—,Gap,Historical field. Low priority.
